gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Male,77,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,62,55-64,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,58,55-64,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,75,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,77,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,80,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,57,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,77,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,72,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,68,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,52,45-54,2yr,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Female,75,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,71,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,77,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,71,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,84,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,73,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,71,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,77,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,53,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
