"eu_vote","party_id","income","gender","religion","age","ethnic_group","education","marital_status","social_class","region","wt_vote","ability"
"1","2","13","1","0","6","1","3","1","1","Eastern",2.08819648457258,0.839420258271681
"1","1","4","1","0","6","1","0","2","2","Eastern",0.522049121143146,0.0665939642829392
"0","1","3","2","1","6","1","0","6","2","Eastern",0.713446313361141,-0.247353298644551
"1","1","4","2","1","5","1","0","4","2","Eastern",0.406120507570684,0.322001889012642
"0","1","3","1","1","5","1","2","2","2","Eastern",1.52287908719554,-0.640977892727688
"1","2","12","2","1","6","1","4","1","2","Eastern",0.676022522837623,0.839420258271681
"2","3","4","2","1","8","1","2","3","1","Eastern",0.9121554562815,-0.00996496915823546
"1","2","8","2","0","2","1","4","3","2","Eastern",0.437979368490883,0.322001889012642
"2","0","5","2","1","2","3","4","1","2","Eastern",0.764759959222099,-1.20741027342236
"0","0","11","1","1","1","1","4","3","2","Eastern",1.08598930307282,-1.20741027342236
"2","2","2","1","1","5","1","0","3","2","Eastern",0.50909573981057,0.839420258271681
"1","2","5","1","0","4","1","0","2","2","Eastern",1.16487507594533,-0.290903410526972
"2","3","4","1","1","8","1","0","4","2","Eastern",0.499142902177197,-0.72780497097891
"0","2","6","1","0","4","1","0","3","2","Eastern",0.871134716729571,-0.640977892727688
"2","0","4","2","0","4","1","0","1","2","Eastern",1.59194948291387,-0.640977892727688
"2","1","4","2","0","2","1","2","2","2","Eastern",0.915188971046019,0.0665939642829392
"1","1","3","1","1","6","1","2","1","2","Eastern",0.911554957424154,0.839420258271681
"0","1","6","1","0","3","1","0","2","2","Eastern",2.47229519226574,-0.72780497097891
"1","2","7","2","1","5","1","3","1","2","Eastern",0.930343704803447,0.292189428889772
"1","2","10","1","1","2","1","4","1","1","Eastern",0.958671207092177,-0.0358248190498095
"0","2","3","2","1","7","1","0","4","1","Eastern",0.781327906778087,0.839420258271681
"2","1","7","1","1","4","1","4","2","1","Eastern",1.22848476109865,0.839420258271681
"2","0","13","2","0","4","1","4","1","1","Eastern",0.374164416945872,0.839420258271681
"2","2","10","1","0","2","1","5","3","1","Eastern",0.479335603546089,0.292189428889772
"2","2","5","2","0","5","1","4","6","1","Eastern",0.363656147709369,0.839420258271681
"2","3","15","2","0","3","1","4","1","2","Eastern",0.400790567305877,0.839420258271681
"1","0","11","1","0","3","1","0","1","2","Eastern",1.64819679484383,-0.00996496915823546
"0","2","7","2","1","1","1","2","3","1","Eastern",1.72819185359065,0.0665939642829392
"2","0","4","2","0","4","1","4","5","2","Eastern",0.371586303550037,-0.290903410526972
"2","3","3","1","0","7","1","2","1","1","Eastern",0.998285804354393,0.839420258271681
"2","2","15","1","0","4","1","5","1","1","Eastern",0.469036916641535,0.839420258271681
"2","1","12","2","0","2","1","5","1","1","Eastern",0.38237997961105,0.322001889012642
"2","0","13","1","1","2","4","4","2","1","Eastern",0.716928181976346,-1.20741027342236
"1","2","12","1","1","6","1","4","1","1","Eastern",0.739856000778418,0.839420258271681
"1","1","15","1","1","4","1","4","1","2","Eastern",0.938073833283071,0.839420258271681
"1","2","13","1","1","7","1","4","1","1","Eastern",0.938985999478088,0.839420258271681
"2","1","3","1","0","1","1","1","3","2","Eastern",1.10085019166901,-0.290903410526972
"1","2","4","2","1","6","1","1","3","2","Eastern",0.477007638714888,0.322001889012642
"1","2","6","2","1","6","1","3","6","2","Eastern",0.477007638714888,0.322001889012642
"2","1","14","1","0","3","1","0","1","2","Eastern",0.962087547622611,-0.72780497097891
