"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"female",24,"romania",6,1,NA,7,4,3,5,5,NA,6,8,9,10,3,3,6,5,10,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",70,"spain",4,1,NA,7,5,5,5,5,5,10,10,5,5,1,1,7,7,10,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",55,"spain",6,0,6,4,4,4,4,4,4,7,7,6,4,1,1,3,4,16,1,2,2,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"male",28,"uk",3,1,NA,8,2,3,2,2,4,8,5,1,2,4,4,5,6,30,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",40,"spain",3,1,1,5,NA,NA,4,NA,NA,8,8,5,9,1,1,7,5,20,NA,3,2,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"male",47,"sweden",6,1,NA,3,5,4,5,3,3,7,8,5,5,1,1,3,5,10,4,2,4,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1
"male",34,"sweden",7,1,NA,3,5,4,5,4,4,6,7,6,3,1,3,5,4,10,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",73,"spain",7,0,NA,5,5,5,5,5,5,10,NA,5,5,1,1,7,7,30,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",25,"spain",7,0,NA,5,4,4,4,4,4,9,9,9,5,2,5,6,6,50,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",75,"poland",6,0,2,7,5,4,5,5,5,10,10,10,1,1,1,7,7,3,1,1,1,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"male",68,"germany",4,0,1,2,4,4,4,3,3,5,7,5,5,2,3,4,4,10,1,1,5,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0014,1.0018,0.988
"female",35,"germany",2,0,1,5,3,3,3,3,2,4,4,5,5,3,4,3,4,80,2,2,2,1,1,1,0,0,0,0,0,3,0,1,0,NA,NA,NA,NA,2,1,1,1
"female",51,"germany",8,1,NA,3,4,4,5,4,4,8,9,8,5,1,4,4,5,15,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",62,"poland",7,0,2,5,5,4,5,5,5,10,NA,NA,5,1,3,4,5,10,2,2,2,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.8991,0.8888,0.857
"male",76,"sweden",4,NA,NA,5,3,3,3,3,4,6,6,6,4,1,1,3,3,30,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",20,"sweden",3,0,NA,5,3,3,3,3,3,5,6,5,6,3,4,4,3,15,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",77,"uk",5,0,2,6,4,5,5,4,3,8,8,8,5,2,2,6,6,3,4,4,4,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"female",27,"uk",6,1,3,NA,5,4,4,5,5,10,8,10,6,1,1,7,7,20,1,3,3,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1
"male",42,"spain",2,0,66,7,2,4,4,3,5,4,1,1,4,6,6,6,6,9,4,5,4,1,1,0,0,1,0,1,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9261,0.9203,0.9213
"female",29,"uk",3,0,5,5,5,4,5,5,5,5,7,7,5,1,2,4,4,60,NA,NA,4,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9623,0.9711,1.0134
