age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
25-34,female,alevel,other,25000plus,3,1,0,1,3,3,3,4,5,4,5,3,2,NA,alevel,NA,NA,0.7826,0.12751998108451623,0
65plus,female,degree,other,9500_17499,4,1,1,0,2,3,4,4,3,4,5,4,2,NA,degree,NA,NA,1.4025,0.3531676391989697,0
15-24,male,alevel,labour,17500_24999,1,0,0,0,2,1,3,3,3,3,3,1,2,NA,alevel,NA,NA,0.9474,-1.2965482561310893,0
15-24,male,gcse,cons,9500_17499,4,1,0,0,3,3,4,3,3,5,2,3,2,NA,gcse,NA,NA,1.0024,-0.49018722391434655,0
45-54,female,gcse,labour,9500_17499,3,1,1,0,3,3,4,4,3,4,5,3,2,NA,gcse,NA,NA,0.7493,0.3531676391989697,0
45-54,female,degree,cons,25000plus,3,1,0,0,3,1,2,4,4,2,3,3,2,NA,degree,NA,NA,0.9945,-0.49018722391434655,0
55-64,male,degree,labour,25000plus,5,1,1,1,2,5,5,5,4,4,5,5,2,NA,degree,NA,NA,1.2219,0.9984553862772432,1
25-34,male,alevel,no_party,25000plus,3,1,0,0,1,3,1,4,4,2,4,1,2,NA,alevel,NA,NA,1.0233,-0.49018722391434655,0
25-34,female,degree,cons,25000plus,5,1,1,1,2,5,4,4,4,4,1,4,2,NA,degree,NA,NA,1.0388,0.9984553862772432,1
45-54,male,degree,labour,17500_24999,3,1,0,0,1,3,2,4,2,4,4,5,2,NA,degree,NA,NA,1.249,-0.49018722391434655,0
15-24,female,alevel,cons,25000plus,3,1,1,1,2,2,2,3,4,3,4,4,2,NA,alevel,NA,NA,3.0762,0.9984553862772432,1
65plus,male,degree,lib_dem,9500_17499,3,0,1,0,2,2,4,4,5,5,5,4,2,NA,degree,NA,NA,1.0563,-0.4187727315479352,0
15-24,female,gcse,labour,17500_24999,1,1,0,0,2,4,2,3,5,5,4,5,2,NA,gcse,NA,NA,1.0206,-0.49018722391434655,0
25-34,female,degree,labour,25000plus,4,1,0,1,4,3,1,4,4,4,4,4,2,NA,degree,NA,NA,1.0163,0.12751998108451623,0
55-64,female,degree,no_party,25000plus,3,1,1,0,4,2,2,4,5,4,3,3,2,NA,degree,NA,NA,1.249,0.3531676391989697,0
