"vote20jb","apppres5","taxecon","billtax","trade2","trade4","richpoor2","immignum","refugees","dreamer","wall5","pathway","famsep","freecol","diversity5","gw1","gw2","prek","science","rr2","age","gender","educ","marstat","race","employ","faminc_new","ideology","party_id","vote16post","religpew","region","compl_data$weight","ability"
"1","1","2","6","2","1","5","4","5","2","1","2","2","7","1","5","1","6","4","4",78,"1","two_yr_college","married","white","part_time","11","moderate","republican","trump","no_rel","west",0.928713753877035,0.49232750386146
"1","1","1","7","2","1","4","3","6","2","1","2","3","7","1","2","2","7","2","3",70,"0","some_college","married","white","retired","8","very conservative","republican","trump","christian","south",0.964187113748541,0.829275858480006
"1","1","1","7","1","1","5","6","3","2","1","4","4","7","0","5","3","6","3","4",73,"0","four_yr_college","married","white","retired","2","very conservative","republican","trump","christian","midwest",0.958801780636491,0.829275858480006
"2","0","3","3","4","2","2","4","4","2","0","2","5","3","1","2","1","4","4","3",63,"1","high_school","divorced","white","full_time","6","moderate","independent","clinton","no_rel","northeast",0.897550307642941,0.49232750386146
"2","0","4","2","3","3","3","4","2","2","0","2","5","3","1","1","1","2","4","2",69,"0","post_grad","married","white","retired","8","very_liberal","democrat","clinton","christian","midwest",1.02996454702489,0.829275858480006
"1","1","1","3","2","2","5","4","4","2","1","1","3","7","0","5","5","7","1","4",74,"1","some_college","divorced","white","retired","9","conservative","republican","trump","christian","west",0.891904784237684,0.49232750386146
"3","1","5","3","2","2","3","3","1","2","1","4","5","6","1","2","1","1","2","4",75,"1","post_grad","married","white","retired","13","conservative","republican","other","christian","west",0.512936867758038,0.829275858480006
"4","0","6","2","3","2","1","4","3","2","0","1","5","2","1","1","1","1","4","2",61,"1","high_school","married","asian","full_time","5","moderate","democrat","no_vote","christian","northeast",0.720153136814894,0.310796619831025
"3","0","4","4","3","2","3","4","4","2","0","3","3","5","0","3","3","4","3","3",69,"1","four_yr_college","widowed","black","retired","2","moderate","independent","no_vote","no_rel","midwest",0.867551854990782,-0.496169414435352
"1","1","2","7","2","1","5","5","6","2","1","1","4","7","0","3","4","2","2","5",74,"1","high_school","married","white","retired","4","moderate","republican","trump","christian","midwest",0.971402016649825,0.310796619831025
"1","1","2","4","2","2","5","6","3","2","1","5","4","7","0","3","4","7","4","3",67,"1","some_college","married","white","retired","4","conservative","republican","trump","christian","northeast",0.891904784237684,0.829275858480006
"1","1","3","6","5","3","5","2","3","2","1","5","5","7","1","4","5","4","5","3",62,"0","post_grad","divorced","mixed","full_time","3","moderate","independent","other","christian","midwest",0.484534611013226,0.49232750386146
"1","1","2","2","4","2","3","5","4","1","1","2","4","7","0","2","4","6","3","2",65,"1","high_school","never_married","white","full_time","5","conservative","republican","trump","christian","midwest",0.847649185791497,0.829275858480006
"2","0","6","1","3","4","1","3","2","2","0","1","5","3","1","1","1","3","4","2",75,"0","four_yr_college","married","white","retired","9","very_liberal","democrat","clinton","no_rel","west",1.01524645761951,0.829275858480006
"2","0","3","5","3","2","2","4","2","2","0","2","5","1","0","1","1","1","3","4",77,"0","high_school","divorced","white","retired","5","moderate","democrat","clinton","jewish","northeast",1.02515128827396,-0.866697231359771
"1","1","1","7","1","1","5","6","7","1","1","5","3","7","0","5","5","7","3","5",69,"1","four_yr_college","married","white","part_time","6","very conservative","republican","trump","christian","west",1.12080996836952,0.49232750386146
"4","0","4","2","3","3","2","4","4","2","0","3","4","4","0","3","2","4","3","1",72,"0","high_school","married","black","retired","6","moderate","independent","no_vote","christian","midwest",1.63859922992978,-0.866697231359771
"3","0","5","1","3","1","2","2","1","2","0","2","5","2","1","1","1","1","5","2",73,"0","four_yr_college","married","white","retired","6","very_liberal","democrat","clinton","christian","south",1.06326693941721,0.829275858480006
"2","0","4","4","4","2","3","3","2","2","0","2","3","5","1","1","1","2","4","1",89,"0","post_grad","widowed","white","retired","12","liberal","democrat","clinton","christian","west",1.02996454702489,-0.0326740388823356
"1","1","2","5","3","1","5","5","3","2","1","2","4","7","0","4","3","5","2","4",84,"0","four_yr_college","married","white","retired","9","conservative","republican","trump","christian","south",1.00415246677689,0.49232750386146
"2","0","3","4","3","2","3","5","4","1","0","3","5","5","0","1","1","4","3","3",67,"0","high_school","divorced","white","disabled","2","liberal","democrat","clinton","no_rel","south",1.02515128827396,-0.866697231359771
"1","1","2","5","4","2","3","7","6","1","1","3","4","7","0","2","1","6","2","4",70,"0","high_school","widowed","white","retired","2","conservative","democrat","trump","christian","south",0.968155932229058,-0.866697231359771
"1","1","2","7","2","1","5","6","4","1","1","3","4","7","0","4","1","7","2","3",80,"0","high_school","married","white","retired","4","conservative","republican","trump","christian","midwest",0.929783697332345,-0.0381838482328011
"1","1","6","2","4","4","2","7","7","1","1","5","3","7","0","3","1","4","3","4",71,"0","high_school","married","white","retired","3","very conservative","republican","trump","christian","south",0.954396916008379,-0.180194977787794
"1","1","1","2","1","2","3","6","4","1","1","5","1","5","0","3","3","3","4","1",77,"0","some_college","widowed","black","retired","7","very conservative","republican","trump","christian","south",0.999047189556699,0.310796619831025
"1","1","3","1","3","4","2","7","4","1","1","2","3","7","0","1","1","4","3","3",75,"0","high_school","married","white","retired","3","conservative","republican","trump","christian","west",0.929783697332345,-0.249543902218619
