"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum","know_score_general","know_score_imm","know_score_general_binary","know_score_imm_binary","ps_value_general","weight.ATE_general","ps_value_imm","weight.ATE_imm"
"female",68,"uk","3","0","3",5,3,3,3,3,3,10,8,10,10,1,7,7,7,20,5,5,5,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9573,0.9584,0.9111,0,15,-0.94861939049062,0.543292489902306,0,1,0.350640939179235,1.53998005161588,0.41894899821509,2.38692538772129
"female",18,"uk","3","1","1",5,3,4,3,3,3,5,5,5,6,4,4,4,4,45,2,3,3,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,16,-0.94861939049062,-0.941440527749612,0,0,0.137708365601237,1.1597004541245,0.264512991260017,1.35964332220249
"male",38,"sweden","1","0","1",7,3,4,4,3,3,6,6,7,6,4,6,5,5,25,4,4,3,0,1,1,0,0,1,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0997,1.1317,1.2101,0,17,-0.605208346226583,0.75718841640067,0,1,0.272330885060319,1.37425098780356,0.278471320613613,3.59103407056961
"female",47,"germany","7","1","7",7,4,4,4,5,4,7,7,7,5,5,5,5,6,33,4,3,4,0,0,1,0,1,0,0,1,2,0.333333333333333,0.5,NA,1,NA,NA,2,0.9836,0.9843,1,1,21,-0.94861939049062,-0.941440527749612,0,0,0.326225369653478,1.48417579849467,0.477680986776775,1.91453876784805
"female",51,"germany","4","0","1",4,5,5,5,5,3,8,8,3,7,3,5,5,4,25,1,3,4,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9709,0.9655,0.9437,0,23,0.230219397408275,0.543292489902306,0,1,0.248505359329675,1.33068147912274,0.31685900260178,3.15597786961658
"female",64,"sweden","8","1","2",7,4,4,4,4,4,8,9,10,5,1,3,5,6,50,2,5,4,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,0.966,0.9541,0.9164,1,20,0.729090370818878,1.14645059101092,1,1,0.473097213189994,2.11373048100878,0.450132200498504,2.22156957198916
"male",55,"sweden","5","0","7",5,5,4,4,5,5,9,8,8,6,1,1,7,7,15,2,2,2,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,0,23,0.729090370818878,1.14645059101092,1,1,0.445881242845325,2.2427496470106,0.531870385374617,1.88015732309604
"female",53,"sweden","5","1","4",4,5,4,5,4,5,6,2,4,8,5,7,3,5,50,2,3,3,0,0,1,0,0,1,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,0,23,-0.94861939049062,0.75718841640067,0,1,0.163215954837541,1.19505146612332,0.329391663939109,3.03589953686521
"female",57,"sweden","6","1","4",6,2,3,1,1,5,0,6,0,10,7,6,2,1,21,1,2,5,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,0.966,0.9541,0.9164,1,12,0.729090370818878,0.543292489902306,1,1,0.211642953517319,4.72493878667294,0.364416368638847,2.74411383806704
"female",45,"sweden","3","0","1",5,4,1,3,4,2,3,4,5,7,3,4,3,5,60,4,5,5,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,0,NA,0.230219397408275,-0.504331780470674,0,0,0.202569267914806,1.25402741550368,0.312541795567255,1.45463388690684
"male",22,"germany","4","0","1",3,3,5,5,3,4,3,5,6,10,4,1,2,3,5,3,2,2,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,0,20,0.230219397408275,-0.941440527749612,0,0,0.273562015991289,1.37657999996323,0.2939916491137,1.41641384091935
"male",60,"uk","3","1","7",5,5,5,5,5,5,10,10,0,10,1,1,1,1,30,5,5,5,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,25,0.729090370818878,0.543292489902306,1,1,0.394871281073013,2.53247082766472,0.5461865284761,1.83087635425588
"male",71,"uk","7","0","1",3,5,4,5,5,4,10,10,10,8,1,1,7,7,3,3,1,2,1,1,1,1,1,1,0,3,4,1,1,NA,NA,NA,NA,2,1.0528,1.0514,1.0156,1,23,0.729090370818878,0.0848716597143804,1,0,0.671783748274283,1.4885742660028,0.496978671550911,1.98798727497936
