x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,eu_vote,party_id,income,gender,religion,age,ethnic_group,education,marital_status,social_class,region,wt_vote,ability
1,1,1,1,1,1,1,2,5,1,0,7,1,0,1,2,East Midlands,1.26266645843848,1.0073761227189837
1,0,1,1,1,1,1,1,6,2,1,4,1,4,1,2,East Midlands,0.413178509713038,0.4077488558446815
1,1,1,0,1,1,1,2,3,1,1,8,1,0,4,1,East Midlands,0.631333229219238,0.10198396588856312
1,0,0,0,1,1,1,2,7,2,0,5,1,0,3,1,East Midlands,1.02735056585352,-0.31929598673165877
0,0,1,0,0,0,1,0,7,1,0,4,1,2,1,2,East Midlands,1.92393572299358,-1.3322879951954447
1,1,1,1,0,1,1,2,7,2,1,6,1,0,1,1,East Midlands,1.58023555709573,0.3719916958057807
1,0,1,0,1,1,1,2,12,1,0,1,1,4,3,1,East Midlands,0.801797733621753,-0.31929598673165877
1,1,1,1,1,0,2,1,7,1,0,2,1,3,3,2,East Midlands,1.10604310851768,0.4681354858055186
1,1,1,0,0,0,2,2,10,2,0,5,1,0,6,2,East Midlands,1.02735056585352,-0.7517599917374171
1,1,1,0,1,1,1,2,4,1,0,5,1,3,3,2,East Midlands,0.562179110438012,0.10198396588856312
1,0,1,0,0,0,1,1,11,2,1,4,1,0,1,2,East Midlands,1.02614811500816,-1.3322879951954447
1,1,1,1,1,1,1,2,3,2,1,6,1,1,6,2,East Midlands,0.459877400302322,1.0073761227189837
1,1,1,0,0,0,1,2,6,2,1,6,1,0,5,2,East Midlands,0.526745185698576,-0.7517599917374171
1,0,0,0,0,0,0,0,15,2,1,8,1,0,4,2,East Midlands,0.862796902909341,-1.3322879951954447
1,0,0,0,0,0,0,1,10,2,0,5,1,3,2,2,East Midlands,0.896933318521482,-1.3322879951954447
1,1,1,1,1,1,1,1,3,1,0,5,1,2,6,2,East Midlands,0.490813157541506,1.0073761227189837
1,0,0,0,0,0,0,2,15,1,1,7,1,0,4,2,East Midlands,0.944266565840199,-1.3322879951954447
1,0,1,0,0,1,0,1,3,2,1,7,1,1,4,2,East Midlands,0.862796902909341,-0.8119912597841162
1,1,1,1,1,1,2,1,7,2,0,6,1,4,1,1,East Midlands,0.325872643450689,1.0073761227189837
1,1,1,0,0,1,0,0,14,1,0,5,1,0,2,2,East Midlands,1.68166956349467,-0.350184702862402
1,0,0,0,0,0,2,1,6,2,1,4,1,4,1,1,East Midlands,1.41567053245867,-1.3322879951954447
1,0,1,0,0,1,1,1,4,2,0,2,1,0,2,1,East Midlands,1.0106156492623,-0.8119912597841162
1,0,0,0,0,0,1,1,15,2,1,8,1,0,3,2,East Midlands,0.862796902909341,-1.3322879951954447
1,0,0,0,0,0,2,1,4,2,1,5,1,3,3,4,East Midlands,0.448466659260741,-1.3322879951954447
1,0,1,0,0,1,0,1,12,2,1,5,1,0,3,2,East Midlands,0.448466659260741,-0.8119912597841162
1,1,1,0,1,1,1,2,6,2,1,7,1,0,1,2,East Midlands,1.15372581129023,0.10198396588856312
1,1,1,1,1,1,2,1,5,2,1,6,1,0,4,4,East Midlands,0.459877400302322,1.0073761227189837
1,0,0,0,0,1,1,2,4,1,0,3,1,3,1,2,East Midlands,0.608440824844759,-0.8119912597841162
1,0,0,0,0,0,0,2,11,1,0,4,1,4,2,4,East Midlands,1.54934532975065,-1.3322879951954447
1,1,0,0,0,1,1,1,6,1,1,6,1,2,1,2,East Midlands,1.01346575988269,-0.350184702862402
1,1,1,1,1,1,1,2,15,1,1,4,1,4,1,1,East Midlands,1.55383007128428,1.0073761227189837
1,0,1,1,1,1,1,2,8,2,1,6,1,4,1,2,East Midlands,0.746511335306652,0.4077488558446815
1,1,1,1,1,1,2,2,13,2,1,3,1,4,1,1,East Midlands,0.661955351094516,1.0073761227189837
1,1,1,1,0,1,1,3,3,2,0,6,1,4,5,2,East Midlands,0.325872643450689,0.3719916958057807
1,1,1,1,1,1,2,2,15,2,0,4,1,4,1,1,East Midlands,0.946512225573074,1.0073761227189837
1,1,1,1,1,1,1,1,12,1,0,5,1,4,1,2,East Midlands,0.9465329511415,1.0073761227189837
1,0,1,1,1,1,2,3,11,1,0,3,1,4,1,1,East Midlands,0.845766066182211,0.4077488558446815
1,1,1,1,1,1,0,2,6,1,1,6,1,5,1,1,East Midlands,1.22196398494801,1.0073761227189837
1,1,1,1,0,1,2,1,12,2,1,2,1,4,1,1,East Midlands,0.844501416833825,0.3719916958057807
1,0,1,0,0,1,1,1,2,2,0,5,1,0,6,2,East Midlands,0.448466659260741,-0.8119912597841162
1,1,1,1,1,1,1,1,8,1,1,5,1,4,1,2,East Midlands,0.826375113982583,1.0073761227189837
1,1,1,1,1,1,1,1,9,2,0,5,1,4,1,2,East Midlands,0.755076918720628,1.0073761227189837
1,1,1,0,0,0,1,2,6,2,1,5,1,0,1,1,East Midlands,1.02735056585352,-0.7517599917374171
1,1,1,1,1,1,0,1,5,1,1,2,3,4,1,2,East Midlands,0.924243527105763,1.0073761227189837
1,1,1,1,1,1,2,1,6,1,0,6,1,4,1,1,East Midlands,1.42657276999884,1.0073761227189837
1,1,1,1,1,1,2,1,7,2,1,5,1,4,1,2,East Midlands,1.51015383744126,1.0073761227189837
1,1,1,0,0,1,1,2,7,2,1,4,1,4,1,1,East Midlands,1.41567053245867,-0.350184702862402
1,1,0,1,1,1,1,0,4,1,1,3,1,3,2,2,East Midlands,0.53120216826723,1.0073761227189837
1,1,1,0,0,1,2,1,3,2,1,7,1,0,4,2,East Midlands,0.862796902909341,-0.350184702862402
1,0,1,1,1,1,0,1,15,2,0,4,1,3,6,2,East Midlands,0.878970961827122,0.4077488558446815
1,1,1,1,0,0,0,1,13,2,0,3,1,5,2,1,East Midlands,0.772794853578795,-0.021614839243643102
1,0,1,1,1,0,2,1,5,2,0,1,1,3,3,2,East Midlands,2.85432327634899,0.009059745233523505
