"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schenger","mig_know_asylum","mig_know_syrians","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"fenale",27,"romania",7,1,NA,NA,3,5,4,3,5,9,7,6,5,2,3,6,5,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",34,"romania",7,1,NA,5,4,4,4,4,4,10,0,0,NA,2,2,4,4,11,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",35,"romania",7,1,3,9,5,3,5,3,5,7,8,NA,7,2,3,6,5,2,3,2,0,1,0,1,1,1,0,NA,NA,NA,NA,2,0.6422,0.6473,0.6592
"fenale",24,"romania",6,1,NA,7,4,3,5,5,NA,6,8,9,10,3,3,6,5,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",70,"spain",4,1,NA,7,5,5,5,5,5,10,10,5,5,1,1,7,7,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",55,"spain",6,2,6,4,4,4,4,4,4,7,7,6,4,1,1,3,4,16,2,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"male",28,"uk",3,1,NA,8,2,3,2,2,4,8,5,1,2,4,4,5,6,30,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",40,"spain",3,1,1,5,NA,NA,4,NA,NA,8,8,5,9,1,1,7,5,20,3,2,1,0,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"male",30,"other",6,1,NA,6,3,4,4,3,4,6,5,5,5,1,1,4,5,50,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",47,"sweden",6,1,NA,3,5,4,5,3,3,7,8,5,5,1,1,3,5,10,2,4,1,1,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"male",34,"sweden",7,1,NA,3,5,4,5,4,4,6,7,6,3,1,3,5,4,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",66,"other",7,2,NA,10,3,4,5,4,3,10,10,7,5,1,1,7,6,40,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",73,"spain",7,2,NA,5,5,5,5,5,5,10,NA,5,5,1,1,7,7,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",25,"spain",7,2,NA,5,4,4,4,4,4,9,9,9,5,2,5,6,6,50,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",47,"other",6,2,2,5,3,4,4,3,4,5,8,1,5,5,5,5,5,2,4,4,0,0,1,NA,1,0,1,NA,NA,NA,NA,2,1.2421,1.2441,1.2274
"male",48,"other",4,1,1,2,4,4,3,4,3,5,6,7,6,3,4,5,5,8,4,2,1,1,1,1,1,1,1,NA,NA,NA,NA,2,1.2091,1.2132,1.2129
"male",75,"poland",6,2,2,7,5,4,5,5,5,10,10,10,1,1,1,7,7,3,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,2,1,1,1
"fenale",60,"other",5,1,NA,0,4,5,5,3,4,7,6,8,6,2,1,5,5,20,4,4,1,1,1,NA,1,1,1,NA,NA,NA,NA,2,0.9006,0.8895,0.8439
"male",68,"germany",4,2,1,2,4,4,4,3,3,5,7,5,5,2,3,4,4,10,1,5,1,0,1,1,1,NA,1,NA,NA,NA,NA,2,1.0014,1.0018,0.988
"fenale",35,"germany",2,2,1,5,3,3,3,3,2,4,4,5,5,3,4,3,4,80,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",51,"germany",8,1,NA,3,4,4,5,4,4,8,9,8,5,1,4,4,5,15,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"other",7,2,NA,5,3,3,3,3,3,5,4,4,5,6,5,4,3,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",62,"poland",7,2,2,5,5,4,5,5,5,10,NA,NA,5,1,3,4,5,10,2,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,0.8991,0.8888,0.857
"fenale",43,"other",6,1,1,6,4,4,4,4,4,5,5,0,5,1,1,1,4,10,3,5,1,1,1,1,NA,0,0,NA,NA,NA,NA,2,1,1,1
"fenale",31,"other",7,1,1,3,5,5,5,5,5,10,10,10,5,1,1,5,7,5,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",69,"other",2,2,NA,6,5,5,4,5,5,8,8,9,1,1,1,6,7,15,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",48,"other",3,2,NA,5,3,3,5,3,3,5,5,5,10,1,7,3,5,50,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",76,"sweden",4,NA,NA,5,3,3,3,3,4,6,6,6,4,1,1,3,3,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"other",6,1,NA,2,5,5,5,5,5,10,10,10,2,2,1,4,6,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",20,"sweden",3,2,NA,5,3,3,3,3,3,5,6,5,6,3,4,4,3,15,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",46,"other",2,2,NA,5,5,2,5,5,4,7,4,5,8,2,5,4,5,40,5,3,0,0,NA,NA,1,0,1,NA,NA,NA,NA,2,1,1,1
"male",51,"other",2,2,NA,5,3,4,5,3,3,0,0,0,10,6,4,1,3,10,3,3,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,2,1.1066,1.1015,1.0981
"male",51,"other",2,2,1,5,3,3,4,2,2,0,0,0,10,6,5,2,3,20,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.1066,1.1015,1.0981
"male",60,"other",3,1,NA,8,3,2,2,4,2,0,3,0,10,5,5,3,5,20,2,2,0,NA,1,1,1,0,1,NA,NA,NA,NA,2,1.0881,1.0879,1.0366
"fenale",46,"other",2,2,NA,5,5,3,4,5,3,7,5,5,6,3,6,4,5,30,4,4,0,NA,NA,1,NA,0,1,NA,NA,NA,NA,2,1.0131,1.0044,0.9477
"fenale",24,"other",3,2,NA,7,4,4,4,4,4,6,6,5,8,1,5,4,6,10,3,3,1,1,1,1,0,1,1,NA,NA,NA,NA,2,1.0856,1.0806,1.1644
"male",77,"uk",5,2,2,6,4,5,5,4,3,8,8,8,5,2,2,6,6,3,4,4,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,1,1,1
"fenale",27,"uk",6,1,3,NA,5,4,4,5,5,10,8,10,6,1,1,7,7,20,3,3,1,0,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"male",42,"spain",2,2,66,7,2,4,4,3,5,4,1,1,4,6,6,6,6,9,5,4,1,0,0,1,0,1,0,NA,NA,NA,NA,2,0.9261,0.9203,0.9213
"fenale",29,"uk",3,2,5,5,5,4,5,5,5,5,7,7,5,1,2,4,4,60,NA,4,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,0.9623,0.9711,1.0134
"male",19,"uk",3,1,NA,9,5,5,5,2,5,4,5,4,6,5,6,5,4,48,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",21,"uk",6,1,3,5,2,3,1,4,2,2,2,5,5,2,3,2,3,40,2,3,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,2,1,1,1
"fenale",18,"other",5,1,NA,NA,5,5,5,5,5,8,7,7,3,1,2,6,7,40,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",23,"uk",7,2,NA,6,2,1,2,1,2,3,4,5,5,3,3,5,3,20,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",53,"other",6,1,NA,5,4,5,5,5,5,10,10,10,5,1,1,7,7,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",41,"uk",7,1,3,NA,5,5,5,5,5,10,10,10,5,1,1,7,7,25,3,3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,1.1342,1.1367,1.1376
"fenale",39,"spain",8,1,NA,6,4,3,5,4,5,5,5,5,10,2,6,NA,7,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",33,"other",5,1,NA,6,4,5,5,4,5,10,10,10,2,2,3,7,2,50,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",28,"other",5,2,NA,6,3,3,3,3,3,8,8,8,2,2,2,5,2,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",20,"other",3,1,NA,5,4,5,5,3,5,10,10,10,6,1,1,4,6,100,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",56,"uk",7,1,7,5,5,5,5,5,4,5,5,5,5,5,5,5,5,30,4,4,1,0,1,1,0,0,1,NA,NA,NA,NA,2,1,1,1
"fenale",42,"romania",3,1,NA,5,5,3,5,5,5,7,7,10,5,1,5,3,7,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",33,"romania",6,1,NA,8,4,3,4,2,2,4,4,4,10,6,7,6,2,70,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",35,"germany",6,1,4,5,5,4,5,5,4,8,10,5,6,1,1,1,1,40,3,3,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,2,0.9768,0.985,1.0175
"fenale",26,"uk",7,2,NA,6,4,5,4,3,4,10,10,10,5,2,2,5,4,30,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
